#Angle	GB_energy	Surf_energy	Coh_energy	Count	X	Z
90.000000	-0.025213	2589.550894	5179.127001	1721	0.707107	0.800000
53.130102	1112.431424	2504.080445	3895.729466	3441	1.376042	1.600000
36.869898	1007.577301	2693.889471	4380.201641	3011	1.229775	1.400000
28.072487	1091.845758	2173.636215	3255.426672	5591	2.233349	2.600000
22.619865	1005.083934	2411.042141	3817.000348	1796	0.679869	0.800000
18.924644	972.090192	2334.753217	3697.416242	13923	5.406900	6.400000
16.260205	908.301131	1792.656657	2677.012183	3066	1.178511	1.400000
14.250033	872.797860	1792.656656	2712.515452	7391	2.855383	3.400000
12.680383	825.403695	1792.593980	2759.784265	21071	8.216924	9.800000
11.421186	793.684233	1936.873674	3080.063115	7387	2.847465	3.400000
10.388858	756.266597	1792.593981	2828.921365	25621	9.873883	11.800000
9.527283	728.705449	1936.910624	3145.115799	15651	6.020797	7.200000
67.380135	1108.332678	2337.905396	3567.478114	4765	1.888622	2.200000
43.602819	1180.536052	2498.661072	3816.786092	5645	2.187723	2.600000
31.890792	1113.734194	2777.494836	4441.255478	4764	1.862354	2.200000
25.057615	1070.620575	2285.169508	3499.718441	2615	1.005768	1.200000
20.609693	1002.801278	2418.001352	3833.201426	10365	4.004898	4.800000
17.492325	946.848054	2241.244205	3535.640356	8185	3.203923	3.800000
15.189287	896.680370	1792.609703	2688.539036	18990	7.398231	8.800000
13.419674	852.379367	1937.055944	3021.732521	18123	7.048276	8.400000
73.739795	1002.220671	1712.824378	2423.428085	4774	1.896552	2.200000
61.927513	1118.421625	2370.441439	3622.461253	9057	3.601470	4.200000
46.397181	1182.711987	2704.397308	4226.082629	5646	2.200112	2.600000
41.112090	1153.786663	2422.071652	3690.356641	9273	3.518119	4.200000
33.398488	1107.837125	2728.409435	4348.981745	20417	7.914426	9.400000
30.510237	1115.637598	2829.676697	4543.715796	10768	4.191821	5.000000
25.989234	1083.387064	2239.039993	3394.692922	12923	5.003124	6.000000
24.189514	1054.796032	2283.806755	3512.817478	26284	10.275142	12.200000
77.319617	900.504365	2083.552508	3266.600651	5188	2.022039	2.400000
59.489763	1165.629051	2425.044770	3684.460489	15500	6.046693	7.200000
47.924978	1197.174516	2523.642850	3850.111184	21977	8.513419	10.200000
39.966213	1136.225331	2425.218819	3714.212307	21976	8.527710	10.200000
34.205458	1101.073556	2790.579137	4480.084718	11228	4.365904	5.200000
79.611142	819.892062	2069.162319	3318.432576	6065	2.377033	2.800000
71.075356	1058.005585	2297.920689	3537.835793	19807	7.758960	9.200000
64.010766	1142.297216	2576.467816	4010.638416	11198	4.380063	5.200000
58.109208	1167.834221	2546.706236	3925.578251	11662	4.557082	5.400000
48.887910	1192.480725	2690.950091	4189.419457	16827	6.544983	7.800000
45.239730	1189.087287	2340.950005	3492.812723	15526	6.077922	7.200000
42.075022	1164.996018	2454.875960	3744.755902	22836	8.894031	10.600000
81.202589	754.197883	2008.417441	3262.636999	9053	3.520190	4.200000
57.220919	1174.853808	2545.720416	3916.587024	10367	4.009589	4.800000
82.371850	699.556998	1741.886877	2784.216756	9062	3.543382	4.200000
75.749967	945.433212	2075.209365	3204.985518	5213	2.012074	2.400000
69.984040	1093.731421	1776.222651	2458.713881	3897	1.504918	1.800000
64.942385	1137.806720	2402.961163	3668.115606	23324	9.026588	10.800000
60.512874	1156.484286	2496.425539	3836.366792	7369	2.845440	3.400000
83.267079	653.358720	1678.220481	2703.082242	29780	11.539861	13.800000
72.054747	1047.438143	1772.638439	2497.838735	13361	5.205501	6.200000
63.215004	1141.488823	2527.511835	3913.534847	16808	6.541859	7.800000
78.578814	856.299167	2082.575614	3308.852061	20166	7.691563	9.200000
